6/6/2014 14:51:07.028,0,6.4771
6/6/2014 14:51:07.036,1,6.478024
6/6/2014 14:51:07.044,2,6.478982
6/6/2014 14:51:07.051,3,6.480055
6/6/2014 14:51:07.059,4,6.481254
6/6/2014 14:51:07.067,5,6.482394
6/6/2014 14:51:07.075,6,6.483349
6/6/2014 14:51:07.083,7,6.484263
6/6/2014 14:51:07.090,8,6.485318
6/6/2014 14:51:07.098,9,6.486495
6/6/2014 14:51:07.106,10,6.487725
6/6/2014 14:51:07.114,11,6.48904
6/6/2014 14:51:07.122,12,6.490413
6/6/2014 14:51:07.129,13,6.491779
6/6/2014 14:51:07.137,14,6.493203
6/6/2014 14:51:07.145,15,6.494736
6/6/2014 14:51:07.153,16,6.496278
6/6/2014 14:51:07.161,17,6.497694
6/6/2014 14:51:07.168,18,6.499017
6/6/2014 14:51:07.176,19,6.500411
6/6/2014 14:51:07.184,20,6.501928
6/6/2014 14:51:07.192,21,6.503412
6/6/2014 14:51:07.200,22,6.504664
6/6/2014 14:51:07.208,23,6.505682
6/6/2014 14:51:07.215,24,6.5067
6/6/2014 14:51:07.223,25,6.507896
6/6/2014 14:51:07.231,26,6.509255
6/6/2014 14:51:07.239,27,6.510713
6/6/2014 14:51:07.247,28,6.512176
6/6/2014 14:51:07.254,29,6.513618
6/6/2014 14:51:07.262,30,6.515138
6/6/2014 14:51:07.270,31,6.516791
6/6/2014 14:51:07.278,32,6.518536
6/6/2014 14:51:07.286,33,6.520288
6/6/2014 14:51:07.293,34,6.522002
6/6/2014 14:51:07.301,35,6.523701
6/6/2014 14:51:07.309,36,6.525355
6/6/2014 14:51:07.317,37,6.526857
6/6/2014 14:51:07.325,38,6.528167
6/6/2014 14:51:07.333,39,6.529398
6/6/2014 14:51:07.340,40,6.530684
6/6/2014 14:51:07.348,41,6.531986
6/6/2014 14:51:07.356,42,6.533151
6/6/2014 14:51:07.364,43,6.5342
6/6/2014 14:51:07.372,44,6.53534
6/6/2014 14:51:07.379,45,6.536673
6/6/2014 14:51:07.387,46,6.538106
6/6/2014 14:51:07.395,47,6.539552
6/6/2014 14:51:07.403,48,6.54108
6/6/2014 14:51:07.411,49,6.542699
6/6/2014 14:51:07.418,50,6.54408
6/6/2014 14:51:07.426,51,6.544684
6/6/2014 14:51:07.434,52,6.543944
6/6/2014 14:51:07.442,53,6.541301
6/6/2014 14:51:07.450,54,6.536518
6/6/2014 14:51:07.458,55,6.529974
6/6/2014 14:51:07.465,56,6.522452
6/6/2014 14:51:07.473,57,6.514781
6/6/2014 14:51:07.481,58,6.507631
6/6/2014 14:51:07.489,59,6.501457
6/6/2014 14:51:07.497,60,6.49647
6/6/2014 14:51:07.504,61,6.492639
6/6/2014 14:51:07.512,62,6.489953
6/6/2014 14:51:07.520,63,6.488467
6/6/2014 14:51:07.528,64,6.487939
6/6/2014 14:51:07.536,65,6.487923
6/6/2014 14:51:07.543,66,6.4881
6/6/2014 14:51:07.551,67,6.488344
6/6/2014 14:51:07.559,68,6.488618
6/6/2014 14:51:07.567,69,6.488852
6/6/2014 14:51:07.575,70,6.489031
6/6/2014 14:51:07.583,71,6.489179
6/6/2014 14:51:07.590,72,6.489235
6/6/2014 14:51:07.598,73,6.489133
6/6/2014 14:51:07.606,74,6.488841
6/6/2014 14:51:07.614,75,6.488364
6/6/2014 14:51:07.622,76,6.487806
6/6/2014 14:51:07.629,77,6.487311
6/6/2014 14:51:07.637,78,6.486949
6/6/2014 14:51:07.645,79,6.486737
6/6/2014 14:51:07.653,80,6.486642
6/6/2014 14:51:07.661,81,6.486633
6/6/2014 14:51:07.669,82,6.486783
6/6/2014 14:51:07.676,83,6.487247
6/6/2014 14:51:07.684,84,6.488156
6/6/2014 14:51:07.692,85,6.489491
6/6/2014 14:51:07.700,86,6.491022
6/6/2014 14:51:07.708,87,6.492509
6/6/2014 14:51:07.715,88,6.493836
6/6/2014 14:51:07.723,89,6.494937
6/6/2014 14:51:07.731,90,6.495726
6/6/2014 14:51:07.739,91,6.496179
6/6/2014 14:51:07.747,92,6.496422
6/6/2014 14:51:07.754,93,6.496616
6/6/2014 14:51:07.762,94,6.496834
6/6/2014 14:51:07.770,95,6.497065
6/6/2014 14:51:07.778,96,6.497235
6/6/2014 14:51:07.786,97,6.497297
6/6/2014 14:51:07.793,98,6.497264
6/6/2014 14:51:07.801,99,6.497156
6/6/2014 14:51:07.809,100,6.497013
6/6/2014 14:51:07.817,101,6.496924
6/6/2014 14:51:07.825,102,6.496961
6/6/2014 14:51:07.833,103,6.497112
6/6/2014 14:51:07.840,104,6.497368
6/6/2014 14:51:07.848,105,6.497768
6/6/2014 14:51:07.856,106,6.498272
6/6/2014 14:51:07.864,107,6.498844
6/6/2014 14:51:07.872,108,6.499637
6/6/2014 14:51:07.879,109,6.500749
6/6/2014 14:51:07.887,110,6.502
6/6/2014 14:51:07.895,111,6.503186
6/6/2014 14:51:07.903,112,6.504288
6/6/2014 14:51:07.911,113,6.505411
6/6/2014 14:51:07.918,114,6.506675
6/6/2014 14:51:07.926,115,6.508106
6/6/2014 14:51:07.934,116,6.50961
6/6/2014 14:51:07.942,117,6.511031
6/6/2014 14:51:07.950,118,6.512281
6/6/2014 14:51:07.958,119,6.513427
6/6/2014 14:51:07.965,120,6.514559
6/6/2014 14:51:07.973,121,6.515705
6/6/2014 14:51:07.981,122,6.516845
6/6/2014 14:51:07.989,123,6.51793
6/6/2014 14:51:07.997,124,6.518945
6/6/2014 14:51:08.004,125,6.519917
6/6/2014 14:51:08.012,126,6.520881
