58:16.7,0,2.095145
58:16.7,1,2.097231
58:16.7,2,2.099214
58:16.7,3,2.101209
58:16.7,4,2.103212
58:16.8,5,2.105152
58:16.8,6,2.107
58:16.8,7,2.108809
58:16.8,8,2.110698
58:16.8,9,2.112761
58:16.8,10,2.114974
58:16.8,11,2.117247
58:16.8,12,2.119491
58:16.8,13,2.121667
58:16.8,14,2.123739
58:16.8,15,2.125632
58:16.8,16,2.127335
58:16.8,17,2.128935
58:16.9,18,2.130542
58:16.9,19,2.132236
58:16.9,20,2.134007
58:16.9,21,2.135788
58:16.9,22,2.137559
58:16.9,23,2.13934
58:16.9,24,2.141139
58:16.9,25,2.142969
58:16.9,26,2.144894
58:16.9,27,2.146957
58:16.9,28,2.149042
58:16.9,29,2.151001
58:17.0,30,2.152878
58:17.0,31,2.154825
58:17.0,32,2.156901
58:17.0,33,2.159064
58:17.0,34,2.161245
58:17.0,35,2.163406
58:17.0,36,2.165525
58:17.0,37,2.167508
58:17.0,38,2.169078
58:17.0,39,2.169815
58:17.0,40,2.169269
58:17.0,41,2.166953
58:17.0,42,2.162453
58:17.1,43,2.155669
58:17.1,44,2.146789
58:17.1,45,2.136178
58:17.1,46,2.124291
58:17.1,47,2.111541
58:17.1,48,2.098301
58:17.1,49,2.085004
58:17.1,50,2.072142
58:17.1,51,2.060161
58:17.1,52,2.049316
58:17.1,53,2.039692
58:17.1,54,2.031324
58:17.1,55,2.024248
58:17.2,56,2.018522
58:17.2,57,2.014159
58:17.2,58,2.010939
58:17.2,59,2.008568
58:17.2,60,2.006981
58:17.2,61,2.006195
58:17.2,62,2.006076
58:17.2,63,2.006385
58:17.2,64,2.006898
58:17.2,65,2.007475
58:17.2,66,2.008076
58:17.2,67,2.008725
58:17.2,68,2.009454
58:17.3,69,2.01026
58:17.3,70,2.011103
58:17.3,71,2.011965
58:17.3,72,2.012905
58:17.3,73,2.014011
58:17.3,74,2.015323
58:17.3,75,2.016814
58:17.3,76,2.018332
58:17.3,77,2.019717
58:17.3,78,2.020999
58:17.3,79,2.022222
58:17.3,80,2.023359
58:17.3,81,2.024483
58:17.4,82,2.025676
58:17.4,83,2.026889
58:17.4,84,2.027968
58:17.4,85,2.028755
58:17.4,86,2.029204
58:17.4,87,2.029442
58:17.4,88,2.029705
58:17.4,89,2.030126
58:17.4,90,2.030641
58:17.4,91,2.031157
58:17.4,92,2.031635
58:17.4,93,2.032081
58:17.5,94,2.032572
58:17.5,95,2.033181
58:17.5,96,2.033994
58:17.5,97,2.035119
58:17.5,98,2.03652
58:17.5,99,2.038025
58:17.5,100,2.039558
58:17.5,101,2.041194
58:17.5,102,2.042993
58:17.5,103,2.044905
58:17.5,104,2.046919
58:17.5,105,2.049133
58:17.5,106,2.051588
58:17.6,107,2.05413
58:17.6,108,2.056565
58:17.6,109,2.058875
58:17.6,110,2.061201
58:17.6,111,2.063684
58:17.6,112,2.066349
58:17.6,113,2.069056
58:17.6,114,2.071622
58:17.6,115,2.074028
58:17.6,116,2.076413
58:17.6,117,2.078842
58:17.6,118,2.081278
58:17.6,119,2.083706
58:17.7,120,2.086111
58:17.7,121,2.088406
58:17.7,122,2.090487
58:17.7,123,2.092332
58:17.7,124,2.094082
58:17.7,125,2.09591
58:17.7,126,2.097817
58:17.7,127,2.099732
58:17.7,128,2.10163
58:17.7,129,2.103515
58:17.7,130,2.105416
58:17.7,131,2.107323
58:17.7,132,2.10917
58:17.8,133,2.110968
58:17.8,134,2.112824
58:17.8,135,2.114786
58:17.8,136,2.116766
58:17.8,137,2.118702
58:17.8,138,2.120666
58:17.8,139,2.122672
58:17.8,140,2.124556
58:17.8,141,2.12623
58:17.8,142,2.12785
58:17.8,143,2.129532
58:17.8,144,2.131237
58:17.8,145,2.132938
58:17.9,146,2.134645
58:17.9,147,2.1364
58:17.9,148,2.138239
58:17.9,149,2.140139
58:17.9,150,2.142093
58:17.9,151,2.144165
58:17.9,152,2.14643
58:17.9,153,2.148815
58:17.9,154,2.151149
58:17.9,155,2.153409
58:17.9,156,2.155691
58:17.9,157,2.158002
58:18.0,158,2.160197
58:18.0,159,2.161995
58:18.0,160,2.163011
58:18.0,161,2.162808
58:18.0,162,2.161018
58:18.0,163,2.157316
58:18.0,164,2.151424
58:18.0,165,2.143368
58:18.0,166,2.133477
58:18.0,167,2.122149
58:18.0,168,2.109837
58:18.0,169,2.097054
58:18.0,170,2.08429
58:18.1,171,2.071981
58:18.1,172,2.06042
58:18.1,173,2.049775
58:18.1,174,2.040219
58:18.1,175,2.031919
58:18.1,176,2.024969
58:18.1,177,2.019363
58:18.1,178,2.015021
58:18.1,179,2.011833
58:18.1,180,2.009661
58:18.1,181,2.008325
58:18.1,182,2.007688
58:18.1,183,2.007682
58:18.2,184,2.008174
58:18.2,185,2.008922
58:18.2,186,2.009738
58:18.2,187,2.010651
58:18.2,188,2.011746
58:18.2,189,2.012913
58:18.2,190,2.014053
58:18.2,191,2.015281
58:18.2,192,2.01667
58:18.2,193,2.018118
58:18.2,194,2.019519
58:18.2,195,2.020868
58:18.2,196,2.022218
58:18.3,197,2.023559
58:18.3,198,2.02483
58:18.3,199,2.026013
58:18.3,200,2.027109
58:18.3,201,2.028068
58:18.3,202,2.028888
58:18.3,203,2.029653
58:18.3,204,2.030306
58:18.3,205,2.030657
58:18.3,206,2.03071
58:18.3,207,2.030657
58:18.3,208,2.030662
58:18.3,209,2.0308
58:18.4,210,2.031029
58:18.4,211,2.031261
58:18.4,212,2.031436
58:18.4,213,2.031594
58:18.4,214,2.031915
